ID,Name,GTSM_ID,GTSM_LAT,GTSM_LON,GSOD_ID,GSOD_LAT,GSOD_LON,Distance
1,Jinzhou,16341,40.913,121.245,543370,41.133,121.117,27
2,Leting,16355,39.185,118.989,545390,39.433,118.9,29.1
3,Longkou,16385,37.69,120.249,547530,37.617,120.317,10.2
4,Chengshantou,16398,37.368,122.622,547760,37.4,122.683,6.4
5,Weifang,16379,37.134,119.282,548430,36.767,119.183,42.4
6,Haiyang,16407,36.694,121.245,548630,36.767,121.167,10.7
7,Liuting,16413,36.05,120.366,548570,36.266,120.374,24.4
8,Rizhao,16418,35.376,119.546,549450,35.433,119.533,6.6
9,Ganyu,16421,34.907,119.194,580400,34.85,119.133,8.4
10,Sheyang,16429,33.853,120.396,581500,33.75,120.3,14.5
11,Lusi,38855,32.124,121.626,582650,32.067,121.6,6.9
12,Hongqiao,18581,31.392,121.509,583670,31.198,121.336,27.2
13,Shengsi,14808,30.688,122.446,584720,30.733,122.45,5.1
14,Xiaoshan,18582,30.396,120.63,584570,30.228,120.432,26.6
15,Dinghai,16461,30.103,122.183,584770,30.033,122.117,10.1
16,Shipu,16469,29.224,121.978,585690,29.2,121.95,3.8
17,Dachendao,16475,28.462,121.597,586660,28.45,121.883,27.8
18,Fuding,16485,27.085,120.396,587540,27.333,120.2,33.7
19,Fuzhou,18584,26.06,119.604,588470,26.083,119.283,32.1
20,Pingtan,16498,25.562,119.839,589440,25.517,119.783,7.5
21,Gaoqi,16510,24.507,118.228,591340,24.544,118.128,11
22,Shantou,16520,23.364,116.792,593160,23.4,116.683,11.8
23,Shanwei,39032,22.749,115.327,595010,22.783,115.367,5.6
24,Baoan,16542,22.69,113.745,594930,22.639,113.811,8.8
25,Hong Kong,43316,22.31,113.892,450070,22.309,113.915,2.4
26,Macau,38858,22.163,113.569,450110,22.15,113.592,2.8
27,Shangchuandao,16550,21.812,112.866,596730,21.733,112.767,13.5
28,Yangjiang,16556,21.753,112.017,596630,21.867,111.967,13.5
29,Qinzhou,16587,21.636,108.56,596320,21.95,108.617,34.9
30,Beihai,38664,21.489,109.087,596440,21.483,109.1,1.5
31,Zhanjiang,16564,21.196,110.64,596580,21.217,110.4,25.3
32,Haikou,14565,20.054,110.288,597580,20,110.25,7.1
33,Danxian,14561,19.878,109.468,598450,19.517,109.583,41.2
34,Qionghai,14540,19.175,110.61,598550,19.233,110.467,16.6
35,Dongfang,38731,19.087,108.618,598380,19.1,108.617,1.4
36,Sanya,14548,18.208,109.497,599480,18.217,109.583,9.4
